Datetime,COMED_MW,FE_MW,DEOK_MW,PJMW_MW
2012-10-24,10998.958333333334,7386.75,2864.125,4797.083333333333
2012-10-25,11059.208333333334,7375.833333333333,2810.125,4803.666666666667
2012-10-26,10368.166666666666,7138.5,2665.375,4690.833333333333
2012-10-27,9597.875,6508.416666666667,2523.0,4253.666666666667
2012-10-28,9228.0,6498.125,2487.5,4379.583333333333
2012-10-29,10634.708333333334,7734.625,2935.4166666666665,5268.541666666667
2012-10-30,10992.583333333334,7548.125,3044.9166666666665,5150.541666666667
2012-10-31,10901.666666666666,7678.916666666667,3014.5,5294.25
2012-11-01,10882.75,7762.458333333333,2946.2916666666665,5289.541666666667
2012-11-02,10703.916666666666,7751.041666666667,2817.7083333333335,5428.458333333333
2012-11-03,9858.541666666666,6995.833333333333,2799.2083333333335,5125.583333333333
2012-11-04,9421.391304347826,6945.217391304348,2675.304347826087,4981.304347826087
2012-11-05,10958.041666666666,7904.625,2997.7916666666665,5538.75
2012-11-06,11283.208333333334,7752.25,3003.1666666666665,5822.0
2012-11-07,11119.041666666666,7846.541666666667,2908.7083333333335,5963.166666666667
2012-11-08,11001.791666666666,7822.666666666667,2924.375,5835.333333333333
2012-11-09,10791.625,7495.791666666667,2867.125,5606.375
2012-11-10,9646.708333333334,6416.541666666667,2479.5833333333335,4961.791666666667
2012-11-11,9110.166666666666,6010.25,2320.6666666666665,4626.916666666667
2012-11-12,10975.0,7230.041666666667,2777.5,5012.666666666667
2012-11-13,11428.208333333334,7914.208333333333,3045.5833333333335,5551.875
2012-11-14,11329.208333333334,7978.083333333333,3133.25,5963.75
2012-11-15,11243.25,7942.916666666667,3107.7083333333335,6044.583333333333
2012-11-16,10948.541666666666,7666.916666666667,3024.75,5704.708333333333
2012-11-17,9968.75,6948.25,2763.75,5273.5
2012-11-18,9478.25,6684.208333333333,2672.9583333333335,5077.791666666667
2012-11-19,10721.041666666666,7678.666666666667,2917.4166666666665,5445.458333333333
2012-11-20,10781.208333333334,7660.375,2857.0833333333335,5562.75
2012-11-21,10736.791666666666,7366.333333333333,2748.2083333333335,5481.583333333333
2012-11-22,8697.041666666666,6005.75,2381.0,4839.083333333333
2012-11-23,9783.791666666666,6361.625,2444.875,4874.583333333333
2012-11-24,10231.875,6973.166666666667,2838.7916666666665,5424.791666666667
2012-11-25,9956.333333333334,6938.458333333333,2847.25,5515.625
2012-11-26,11576.125,7908.208333333333,2978.7916666666665,5644.458333333333
2012-11-27,11971.666666666666,8182.208333333333,3084.3333333333335,5895.875
2012-11-28,11682.291666666666,8220.541666666666,3216.5833333333335,6005.708333333333
2012-11-29,11418.125,8146.25,3231.875,6142.125
2012-11-30,10974.083333333334,7846.5,3016.4166666666665,5906.25
2012-12-01,10141.583333333334,6985.958333333333,2682.0,5299.958333333333
2012-12-02,9307.0,6650.958333333333,2607.7916666666665,5074.791666666667
2012-12-03,10884.416666666666,7450.375,2818.4166666666665,5137.416666666667
2012-12-04,10785.625,7586.5,2804.5833333333335,5135.041666666667
2012-12-05,11429.708333333334,8100.791666666667,2963.9166666666665,5399.333333333333
2012-12-06,11638.375,8199.958333333334,3116.375,6022.916666666667
2012-12-07,11282.333333333334,7855.458333333333,2915.0,5789.625
2012-12-08,10528.208333333334,7058.333333333333,2650.5,5036.875
2012-12-09,10309.75,6999.25,2614.7916666666665,4985.541666666667
2012-12-10,11820.291666666666,7910.875,3007.0416666666665,5452.166666666667
2012-12-11,12027.625,8411.666666666666,3315.6666666666665,5852.666666666667
2012-12-12,11926.541666666666,8406.291666666666,3359.25,6193.0
2012-12-13,11723.125,8354.625,3323.4166666666665,6326.541666666667
2012-12-14,11465.166666666666,8082.708333333333,3177.125,6121.958333333333
2012-12-15,10706.083333333334,7435.416666666667,2869.8333333333335,5561.041666666667
2012-12-16,9980.583333333334,6630.75,2599.375,5079.041666666667
2012-12-17,11455.458333333334,7720.0,2948.6666666666665,5521.666666666667
2012-12-18,11861.708333333334,8045.208333333333,3113.3333333333335,5651.375
2012-12-19,11781.458333333334,8032.791666666667,3114.0416666666665,5866.791666666667
2012-12-20,11899.166666666666,8188.083333333333,3134.0833333333335,6023.666666666667
2012-12-21,12166.458333333334,8303.5,3462.0416666666665,6193.583333333333
2012-12-22,11263.291666666666,7605.166666666667,3129.4166666666665,6025.625
2012-12-23,10686.458333333334,7243.0,2906.7083333333335,5691.583333333333
2012-12-24,10714.25,7133.416666666667,2837.7916666666665,5757.125
2012-12-25,10152.708333333334,6632.541666666667,2802.9166666666665,5238.916666666667
2012-12-26,11559.416666666666,7803.916666666667,3231.875,6125.208333333333
2012-12-27,11687.833333333334,7996.375,3296.0416666666665,6254.041666666667
2012-12-28,11543.625,7924.666666666667,3242.0,6075.541666666667
2012-12-29,10911.916666666666,7468.833333333333,3106.125,5995.041666666667
2012-12-30,10748.75,7393.041666666667,3068.7916666666665,5966.0
2012-12-31,10942.708333333334,7522.5,3148.0416666666665,6201.833333333333
2013-01-01,10596.875,7077.541666666667,2955.4583333333335,5700.916666666667
2013-01-02,12209.333333333334,8559.666666666666,3354.2916666666665,6451.791666666667
2013-01-03,12428.5,8904.375,3444.625,6769.458333333333
2013-01-04,12394.75,8555.75,3263.7916666666665,6577.458333333333
2013-01-05,11283.416666666666,7726.75,3094.9583333333335,6045.166666666667
2013-01-06,10633.166666666666,7347.166666666667,2960.7916666666665,5678.291666666667
2013-01-07,12089.5,8307.083333333334,3267.75,6236.541666666667
2013-01-08,11868.791666666666,8397.291666666666,3220.0833333333335,6447.583333333333
2013-01-09,11576.291666666666,8111.666666666667,3033.8333333333335,6382.25
2013-01-10,11793.875,8232.208333333334,3231.2083333333335,6009.666666666667
2013-01-11,11186.125,7848.791666666667,2878.375,5865.666666666667
2013-01-12,10161.0,6725.375,2592.375,5051.583333333333
2013-01-13,10639.541666666666,6478.041666666667,2528.5833333333335,4793.333333333333
2013-01-14,12442.583333333334,8153.75,3293.625,5430.0
2013-01-15,12411.958333333334,8487.333333333334,3443.7916666666665,6079.166666666667
2013-01-16,12336.625,8387.0,3352.75,6295.541666666667
2013-01-17,12024.833333333334,8345.208333333334,3258.625,6224.083333333333
2013-01-18,12102.916666666666,8433.458333333334,3313.4583333333335,6405.083333333333
2013-01-19,10595.291666666666,7187.791666666667,2848.875,5725.958333333333
